t,samples,r_2.5um,mgm3_2.5um,pcs_2.5um,r_1um,mgm3_1um,pcs_1um,timestamp
5.08,9,6.1,0.61,3814.73,11.79,1.36,7367.02,2024-12-17 21:34:28
5.44,9,6.22,0.62,3887.49,6.44,0.65,4027.1,2024-12-17 21:34:34
5.13,12,2.3,0.2,1440.11,8.95,0.96,5593.64,2024-12-17 21:34:39
5.22,8,3.22,0.29,2011.41,11.78,1.36,7364.24,2024-12-17 21:34:44
5.47,11,0.85,0.06,534.14,13.34,1.59,8337.14,2024-12-17 21:34:50
5.08,5,1.97,0.17,1233.96,3.08,0.27,1921.9,2024-12-17 21:34:55
5.15,7,1.65,0.14,1032.63,13.54,1.62,8463.73,2024-12-17 21:35:00
5.06,6,3.55,0.32,2215.72,5.9,0.58,3689.12,2024-12-17 21:35:05
5.3,8,7.05,0.72,4403.49,7.97,0.84,4981.55,2024-12-17 21:35:11
5.02,6,7.52,0.78,4698.5,9.72,1.06,6074.12,2024-12-17 21:35:16
5.68,10,2.73,0.24,1708.85,7.9,0.83,4936.78,2024-12-17 21:35:22
5.3,6,1.23,0.1,768.71,0.61,0.04,382.85,2024-12-17 21:35:27
5.76,10,2.26,0.19,1413.34,3.12,0.28,1951.94,2024-12-17 21:35:33
5.66,7,0.38,0.02,239.85,4.01,0.37,2505.11,2024-12-17 21:35:39
5.52,6,0.08,0.0,52.41,2.88,0.26,1799.39,2024-12-17 21:35:44
5.75,8,3.65,0.33,2282.42,3.17,0.28,1979.36,2024-12-17 21:35:50
5.55,7,5.48,0.54,3427.11,8.55,0.91,5343.61,2024-12-17 21:35:56
5.57,7,5.6,0.55,3498.42,2.14,0.18,1337.75,2024-12-17 21:36:01
6.04,7,0.12,0.0,72.2,3.08,0.28,1926.11,2024-12-17 21:36:08
5.41,7,0.45,0.03,284.08,8.77,0.94,5482.52,2024-12-17 21:36:13
5.85,9,5.48,0.53,3423.68,7.97,0.83,4981.47,2024-12-17 21:36:19
5.69,7,0.13,0.0,82.12,1.95,0.16,1221.83,2024-12-17 21:36:25
5.21,7,2.72,0.24,1698.65,9.09,0.98,5679.87,2024-12-17 21:36:30
5.74,8,0.91,0.07,571.29,9.92,1.09,6197.1,2024-12-17 21:36:36
5.55,7,1.65,0.14,1029.81,2.05,0.17,1283.0,2024-12-17 21:36:42
5.4,8,5.25,0.51,3278.12,1.77,0.15,1106.21,2024-12-17 21:36:47
5.47,9,0.64,0.04,400.56,3.0,0.27,1877.65,2024-12-17 21:36:53
5.09,11,4.86,0.46,3037.2,8.24,0.87,5151.66,2024-12-17 21:36:58
5.55,9,0.89,0.06,554.4,2.65,0.23,1656.91,2024-12-17 21:37:03
5.15,7,0.24,0.01,147.38,2.03,0.17,1269.51,2024-12-17 21:37:09
5.32,6,0.0,0.0,0.0,1.13,0.09,706.17,2024-12-17 21:37:14
5.72,7,0.07,0.0,42.18,2.56,0.22,1600.19,2024-12-17 21:37:20
5.25,7,0.16,0.0,101.75,2.12,0.18,1327.44,2024-12-17 21:37:25
5.08,6,0.03,0.0,17.8,1.76,0.15,1098.51,2024-12-17 21:37:30
5.14,6,1.6,0.13,1002.91,1.02,0.08,637.37,2024-12-17 21:37:36
5.05,7,2.03,0.17,1267.58,1.58,0.13,988.59,2024-12-17 21:37:41
5.61,6,1.52,0.12,950.24,6.2,0.62,3877.71,2024-12-17 21:37:46
5.67,10,3.32,0.3,2077.57,2.27,0.19,1419.85,2024-12-17 21:37:52
5.02,10,3.27,0.29,2041.09,4.45,0.42,2784.01,2024-12-17 21:37:57
