t,samples,r[25um],mgm3[25um],pcs[25um],r[1um],mgm3[1um],pcs[1um]
6.29,5,0.77,0.05,482.75,0.0,0.0,0.0
11.87,4,0.0,0.0,0.0,0.0,0.0,0.0
17.74,5,0.18,0.0,111.21,0.0,0.0,0.0
23.32,4,0.0,0.0,0.0,0.0,0.0,0.0
28.89,4,0.0,0.0,0.0,0.0,0.0,0.0
34.47,4,0.0,0.0,0.0,0.0,0.0,0.0
40.04,4,0.0,0.0,0.0,0.0,0.0,0.0
45.62,4,0.0,0.0,0.0,0.0,0.0,0.0
52.01,5,0.04,0.0,25.32,0.0,0.0,0.0
57.59,4,0.0,0.0,0.0,0.0,0.0,0.0
63.43,5,0.05,0.0,33.18,0.29,0.01,182.56
69.01,4,0.0,0.0,0.0,0.0,0.0,0.0
74.59,4,0.0,0.0,0.0,0.0,0.0,0.0
80.16,4,0.0,0.0,0.0,0.0,0.0,0.0
85.74,4,0.0,0.0,0.0,0.0,0.0,0.0
91.28,4,0.0,0.0,0.0,0.06,0.0,39.1
96.53,5,1.94,0.16,1214.3,3.48,0.32,2173.44
102.11,4,0.0,0.0,0.0,0.0,0.0,0.0
107.69,4,0.0,0.0,0.0,0.0,0.0,0.0
113.26,4,0.0,0.0,0.0,0.0,0.0,0.0
118.84,4,0.0,0.0,0.0,0.0,0.0,0.0
124.42,4,0.0,0.0,0.0,0.0,0.0,0.0
130.0,4,0.0,0.0,0.0,0.0,0.0,0.0
135.57,4,0.0,0.0,0.0,0.0,0.0,0.0
141.15,4,0.0,0.0,0.0,0.0,0.0,0.0
146.73,4,0.0,0.0,0.0,0.0,0.0,0.0
152.3,4,0.0,0.0,0.0,0.0,0.0,0.0
157.88,4,0.0,0.0,0.0,0.0,0.0,0.0
164.07,5,0.08,0.0,50.71,0.25,0.01,155.55
169.65,4,0.0,0.0,0.0,0.0,0.0,0.0
176.03,5,0.04,0.0,23.16,0.0,0.0,0.0
181.6,4,0.0,0.0,0.0,0.0,0.0,0.0
187.18,4,0.0,0.0,0.0,0.0,0.0,0.0
192.76,4,0.0,0.0,0.0,0.0,0.0,0.0
198.33,4,0.0,0.0,0.0,0.0,0.0,0.0
203.91,4,0.0,0.0,0.0,0.0,0.0,0.0
209.49,4,0.0,0.0,0.0,0.0,0.0,0.0
215.07,4,0.0,0.0,0.0,0.0,0.0,0.0
