t,samples,r[25um],mgm3[25um],pcs[25um],r[1um],mgm3[1um],pcs[1um],timestamp
6.3,5,0.8,0.06,500.96,0.0,0.0,0.0,2024-12-17 20:28:40
12.67,5,0.09,0.0,57.22,0.36,0.02,226.35,2024-12-17 20:28:46
18.25,4,0.0,0.0,0.0,0.0,0.0,0.0,2024-12-17 20:28:52
24.62,5,0.09,0.0,56.39,0.0,0.0,0.0,2024-12-17 20:28:58
31.19,5,0.13,0.0,79.16,0.17,0.0,106.09,2024-12-17 20:29:05
37.46,6,1.45,0.12,904.86,0.14,0.0,87.99,2024-12-17 20:29:11
42.86,5,0.4,0.02,249.66,0.62,0.04,384.54,2024-12-17 20:29:16
48.44,4,0.0,0.0,0.0,0.0,0.0,0.0,2024-12-17 20:29:22
53.55,8,2.23,0.19,1396.46,3.42,0.31,2140.55,2024-12-17 20:29:27
58.89,5,0.08,0.0,46.95,1.07,0.08,670.73,2024-12-17 20:29:33
64.54,5,1.77,0.15,1108.65,15.39,1.92,9618.53,2024-12-17 20:29:38
69.67,6,3.02,0.27,1887.56,3.5,0.32,2187.3,2024-12-17 20:29:43
74.92,6,1.96,0.17,1227.63,6.72,0.68,4201.96,2024-12-17 20:29:49
80.15,7,3.02,0.27,1885.46,0.0,0.0,0.0,2024-12-17 20:29:54
85.75,8,1.51,0.12,941.36,0.54,0.03,339.74,2024-12-17 20:30:00
91.19,6,1.2,0.09,752.79,0.23,0.01,140.73,2024-12-17 20:30:05
96.36,8,3.74,0.34,2336.28,18.71,2.5,11694.97,2024-12-17 20:30:10
101.44,4,0.0,0.0,0.0,3.1,0.28,1937.29,2024-12-17 20:30:16
107.82,5,0.08,0.0,50.96,0.0,0.0,0.0,2024-12-17 20:30:22
113.4,4,0.0,0.0,0.0,0.0,0.0,0.0,2024-12-17 20:30:28
118.98,4,0.0,0.0,0.0,0.0,0.0,0.0,2024-12-17 20:30:33
124.55,4,0.0,0.0,0.0,0.0,0.0,0.0,2024-12-17 20:30:39
130.07,4,0.0,0.0,0.0,3.03,0.27,1895.08,2024-12-17 20:30:44
135.3,10,5.66,0.56,3539.14,10.87,1.23,6795.15,2024-12-17 20:30:50
140.89,4,0.0,0.0,0.0,0.0,0.0,0.0,2024-12-17 20:30:55
146.46,4,0.0,0.0,0.0,0.0,0.0,0.0,2024-12-17 20:31:01
152.27,5,1.17,0.09,733.25,0.33,0.01,203.83,2024-12-17 20:31:07
157.85,4,0.0,0.0,0.0,0.0,0.0,0.0,2024-12-17 20:31:12
163.42,4,0.0,0.0,0.0,0.0,0.0,0.0,2024-12-17 20:31:18
